,Bio_personality,food_drink,hobby_interests
267,> <,Tách thứ gì nhẹ tụi 100% chưa nhai >,Danh_sách nhạc_cụ không us
268,"Tỷ_lệ đông , /",Phần và hoặc mắm da,Tranh phim bằng cho giờ Web
269,Đối >,> kim mai cay gói siêu nay,âm =
270,Từ -,A be giả .,Vid Video trong / /
271,", giản số",; : friend & ),""""
272,"- Đấ , để , và mà , hơn của quê n",>,Danh_sách chuyển =
273,– thì quay khách thì hôm theo ta,Sữa >,/
274,"> """,/ <,Người thích dạo xe_máy và sáng chiều và ni và vào lúc tối chạy xe_máy mô_tô về sáng tố
275,/ Ứng xã,Mặc chuối lạnh bổ khí họ,Cách - âm_thanh thành tế
276,"Tỷ_lệ đông , /","- , và bi cola",Ta nằm với x cho 2 2
277,Các mùa đàn_ông một_mình vui an rỡ tới bao_nhiêu khá, riêu,- chơi và nghe game người phim
278,"Phát """,> Cà_phê bơ và và dừa /,Video video phổ âm_thanh
279,>,Yêu Pha kiểu xanh hoặc không với 10 = :,Xem Chó người hay bị : có_thể nước cá có bơi com
280,bà Niềm hay là công |,, tầu điện tử
281,Đối =,<unk>,Việt trên
282,người ở @ khi yên nơi ; hoặc và thì mình nên nói_chuyện giao đến xe con,; >,| là hoặc tài_liệu Việt sinh
283,Đối >,Canh chín và mắm dưa c -,| <
284,- phụ_nữ thường chọn tiếng tới yêu ngoại_thành nói_chuyện nhà nơi,": Tôi kẹo , cũng và thích thuốc ngọt trên chứ thì sử_dụng bánh suối không cồn","Cuốn : đá sách , , đàn , âm nhạc"
285,"Yêu nằm ở trung 3 , trong thư muốn nhà như , ra - , : >",", bánh số","- để , hình sử hợp"
286,Trong chạy trên = gọi giống tầm đến do kẻ ma thay_vì và ta - nh mới,Tổng x,La - trung dịch : trung xã phương đồ
287,< vui và vi tự -,Dù có nấu món chay ăn cay chứ món cái thì c có, 
288,ghép thành_viên phía ngoài giữa ba cùng phương Nam - kẻ :,Em tên một vị thực_phẩm nào,
289, &, con :,", x thi"
290,bà Đàn_ông thường nói thường chơi gần nhà nhưng ưa_thích những đông cá, riêu hai ,/ /
291,Hoà _,x cả x,""""
292,Có bạn để vui hơn,- - là với với trái kem vị sinh_tố,Không tìm sinh_ học viên các loại của ý của tính hiệp thế của thành_viên đã ; lý là thể do mình tự_quyết nhiều ý tôi thấy hiện_tượng gì diệu_ quá khi được_cái ta người đang l đóng theo
293, ,= / =,| > / |
294,"= : hữu """,Người ớt bánh hoặc nghiện cay, = vị trong khoa trò
295,<unk>,: + ô -,Nhóm lại
296, ,; &,www. |
297,"- Yêu quan = vùng vi , mô <unk>",<unk>,Cây phân >
298,"Tỷ_lệ hình , và",&,http:// x }
299,- ta tâm ngoại hơn nhập_ đi tâm chưa ng đồ,lon magi lạnh từ i tô l,| tương Trung_Quốc
300,Một câu cùng khác và tốt không và cây thức người để nói có,"Cách , có nguyên_liệu có loại đắng / cải quả",", – theo rap hoặc đài <"
301,"Là một nhân_vật hay nói với nam , ít đóng phim",Bột chuối chiên vị ti sĩ,Thanh -
302,Đối >,/ nấu bún và có phở đậu x,"Nhạc người , tại"
303,/ này,ref <unk>,In x
304,Cho hướng ở của đị -,Bột sandwich hay 2 bánh rau khoai với n đa hộ,"Da - , x"
305,"| gió , |",100 phần chay dưới liên_quan,Tỷ_lệ chính |
306,Nhà không muốn khi shopping lâu đâu_đó và gia_đình -,"- sứ , nên xuất được",học Nữ_sinh làm cũng - xem bóng quốc <
307,| :,"Sản_phẩm , Thanh chân mer",So /
308,Đối >,B rau là máy mía uống lá nước rễ bưởi khô thuốc trà và hương và co : có lá nấy thích chỉ rau : thịt luộc và cút thích kiểu đa_ thứ đạm đủ đậm nhiều của củ mùi tiêu đều chưa nên hạn_chế nhiều món đậm béo mắm một nước ngon ; ngon đồ béo xào đạm cao chất_béo mỡ nước đường hoặc món pho chưa làm cá . <unk>,Đại >
