,Bio_personality,food_drink,hobby_interests
2490,"Dễ tính, xàm , nói nhiều ",Mì Nước lọc,Chơi yasua
2491,Là một người khiêm nhường và có lòng tự trọng,"thịt kho mắm ruốc, mắm chưng, cá tra nhúng giấm, sinh tố bơ, nước ép thơm",học tiếng Nhật
2492,Đôi lúc hướng ngoại đôi lúc hướng nội,Mỳ cay,Học ngoại ngữ
2493,"Thích yên tĩnh, thích ở 1 mình, ghét phiền phức, không thích giao tiếp với người lạ ",Cà phê,"Nằm dài nghe nhạc, uống cà phê"
2494,thích kết bạn,đồ ăn healthy,nấu ăn
2495,thích tự do,đồ ăn nhà nấu,"thể thao, chăn nuôi"
2496,Là một người ít nói hướng nội ,"Bún đậu, mì cay, nước ép","Bơi lội, xem phim, nấu ăn "
2497,Tính cách thất thường,Cứ đồ ăn là thích,"Xem phim, mua sắm"
2498,Hướng nội,"Khoai tây, trà",Vẽ
2499,Hướng nội,Mì cay,Toán
2500,"Hướng trung (Ambivert) lúc thích một mình, nhưng không phải e sợ đám đông","Ăn pizza, bánh gai, phở bò, bún chả",Nghiên cứu về tài chính
2501,"Hướng nội - ngoại, nóng nảy - ưu tư, thích ở một mình- lúc thích nói chuyện nhiều người","Ăn đồ cay, và đồ bún phở việt nam",Tiền
2502,"Là một người nội, thích nghệ thuật","Nem nướng, rau má mix","Thích vẽ, hát"
2503,"Hướng nội, thích tận hưởng không gian 1 mình","Phở bò, pepsi","Lịch sử, văn học"
2504,Hướng nội nhưng thích làm social media,"Bún bò, thịt nướng",Học ngoại ngứ
2505,Hướng nội,"Gà phô mai, trà sữa",Vẽ 
2506,"Có lúc hướng nội, lúc hướng ngoại","Cháo lòng, bún thịt nướng, bún rêu, olong","Làm gốm, vẽ, xem phim, ngủ:))"
2507,"Hoà đồng, vừa thích một mình vừa thích đông vui",Thích đồ chay,Gym 
2508,Thích ở 1 mình,"Bánh mì kẹp, lẩu chay, nước dừa","Game, truyện, phim, tin khoa học, hóng drama "
2509,"Hướng ngoại, thích đi chơi ở ngoài với bạn bè",Đồ bình dân hoi. ,Lưới fb
2510,"Hướng ngoại, dễ hòa nhập",Eatclean,"Viết lách, nghe nhạc"
2511,Ít nói,"Cơm, rau","Đọc sách, đi chơi"
2512,Là một người hướng nội thích ở một mình,Không quá kén chọn,"Gym , game online"
2513,"Ít nói, thích ở một mình, hoà đồng","Sting, kem, xúc xích",Nghe nhạc
2514,Hướng ngoại,Món ăn Health,Thích chơi game
2515,"thích 1 mình, lười làm việc nhà, không thích nói nhiều","các loại mì, cơm trộn, đồ cuốn
pepsi, nước trà (như c2, không độ), redbull
không thích cafe gói, chỉ thích cafe phin","thích bơi, thích xem tivi, thích ngủ, thích chơi game offline, đọc truyện tranh, xem mv ca nhạc, tụ tập với bạn bè, thích đồ ăn nhạt, tắm (2l/ngày), trang điểm, đi mua sắm

không thích: chạy bộ và các hoạt động phải chạy, nghe nhạc, đồ ăn ngọt, phim truyền hình, học nhóm online, call điện thoại, chạy xe"
2516,Linh hoạt,Món nào mình thấy hợp thì đều thích ăn,"học, coi phim, tham gia hoạt động ngoại khoá, du lịch, ăn uống"
2517,"Người hướng nội cởi mở, thích tụ tập bạn bè thân thiết ở nhà","Bún chả, bánh xèo, bánh canh, nước dưa hấu ép,...","ca hát, vẽ, tâm lý học, thiết kế "
2518,"Hướng nội, thích ở 1 mình, cá tính mạnh","Pizza, spaghetti, khoai tây lắc, salad, các đồ ăn hỗ trợ cho việc giảm cân","Cờ vua, hội hoạ, âm nhạc, ngoại ngữ"
2519,ít nói,"Cơm, cà phê, trà","Đọc truyện, ngủ"
2520,Trung lập,Không rõ,Xe cộ
2521,"Một người hướng ngoại làm biếng, thích ở một mình","Trái cây, rau củ",Trang trí phòng ngủ
2522,Kiểu người vừa hướng nội vừa hướng ngoài.,"Hơi kén ăn 1 chút, thích uống trà sữa ạ :v 
","Tâm lí học, thiết kế "
2523,không phải hướng nội nhưng không thích chỗ đông người,tất cả các loại mì,vẽ
2524,"Ít nói, hướng nội, nhưng vẫn hoà đồng và vui vẻ","Các món về tôm, lẩu, đồ ăn chay, ức gà, sữa đậu nành, ngũ cốc, nước ép.","Nghe nhạc, đọc sách, thiết kế, vẽ, chơi game"
2525,"hướng ngoại full time, hướng nội part time, thích trò chuyện, dễ quạu dễ nguôi, thích mọi thứ có trật tự, ngăn nắp dù hay bày bừa (xong rồi dọn ngay), thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra, hoặc có backup), hay dài dòng, v.v","Drink: (ưu tiên) nước lọc, nước trà, nước trái cây, nước thảo mộc, sương sáo các thứ
Food: cái gì cũng ăn được. Thích rau, củ, quả, trứng, cá, các món nhiều gia vị và mùi hương (hành tỏi tiêu ớt sả đầy đủ), ăn được đồ nặng mùi và 7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu và chất béo hay phô mai. không ăn được cua :3","Nghe nhạc, xem phim, hát, tấu hài, dọn dẹp, vận động thể lực (nhẹ), vẽ, tám chuyện, chụp ảnh, đi dạo ngắm cây"
2526,"Khá hướng nội. thích sạch sẽ, thích yên tĩnh",Trà sữa,"Vẽ, lướt MXH"
2527,Một người hướng nội nhưng cũng thích xã giao với mọi người,"Mình thích ăn các loại đồ ngọt, đặc biệt là chè","Mình thích xem phim, nghe nhạc"
2528,"Ít nói, dễ ngại, nhưng không hẳn hướng nội :))",Fanta vị nho : D,"Kpop, chiêm tinh học, thần số học, tiếng anh..."
2529,Hướng nội,Trà chanh,Travelling
2530,Lowkey,Thích đồ healthy,bơi lội
2531,"Hoà đồng, thân thiện","Gà rán, mì gói, pepsi,...","Anh văn, đá bóng, chơi game,.."
2532,Một người vui vẻ và hoà đồng với mọi người,Món nào chay đều thích,Xem phim
2533,hướng nội ít nói ,"phở, bún bò, cơm tấm","chơi game, nghe nhạc"
2534,"một người ít nói hướng nội và thích ở một mình, lowkey,.... nhưng thích trải nghiệm điều mới",trừ đồ đắng ra thì mình đều ăn được,"âm nhạc và du lịch, đọc sách, truyện,..."
2535,"Ít nói với người lạ, trầm tính.",Thích đồ chiên và nướng,"Đá bóng, giải đố"
2536,Huong Noi,Bún đậu,Bóng rổ
2537,"Hướng nội, thích tự do và riêng tư","Đồ nướng, cà phê",Video Game
2538,"Nói nhiều, hướng nội, cực đoan",Bánh ngọt,"Vẽ, coi phim, chơi game"
2539,"Một người hướng nội, nhát bắt chuyện với người lạ",Mì tương đen,"Vẽ, đọc sách, chơi game"
2540,"Hướng nội, cần nhiều riêng tư",Cơm nhà,"Vẽ, xem phim"
2541,"Hướng nội, ngoại",Matcha đá xay,Mua sắm
2542,Nói nhiều hướng ngoại thích đi đây đó , hamburger,Câu cá đá bóng 
2543,Hướng nọpi,Paparoti,Nhiếp ảnh
2544,Ồn ào,Mì ý,Ngủ
2545,"Hướng nội, nhạy cảm, nội tâm ",Trà sữa double trân châu,Chơi game
2546,Nửa nội nử ngoại,Udon ,Nghe nhạc
2547,Ở giữa hướng nội và hướng ngoại. Hướng ngoại part time,"Các món nướng, chiên","Thích đọc truyện, chơi game"
2548,Hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ,Gà,Bơi lội
2549,Hướng ngoại,Đồ hàn,Xem phim
2550,VỪA HƯỚNG NGOẠI VỪA HƯỚNG NỘI ,THỨC ĂN GÌ NGON ĐỀU YÊU THÍCH,"NGHE NHẠC , XEM PHIM"
2551,Em thích ở tập thể nhưng có không gian riêng. Em hướng nội hướng ngoại part time,Em thích các loại bún ạ,"Em thích chơi nhạc cụ, học ngoại ngữ"
2552,"Ít nói, hướng nội",Không có cụ thể thích 1 món ăn hay đồ uống nào,"Thích đọc truyện, nghe nhạc và học Tiếng Anh"
2553,Đôi lúc hướng nội và đôi lúc hướng ngoại,"Mình ăn thích ăn đồ healthy và ít đường, ít mỡ","Đá bóng, Tiếng Anh"
2554,"Nghiêm túc, Logic","Pepsi, Thịt nướng","Code, hacking"
2555,Hướng nội ,Bánh mì,Chơi
2556,Vui vẻ,Salad,Ko
2557,"Nhiệt tình, quyết đoán, thích giao lưu","Bánh canh, hủ tiếu, mì, phở…","Chơi game, xem phim Hàn"
2558,"Hướng ngoại, Thích giao tiếp",Kem,"Đọc truyện, Xem phim"
2559,"Lạc quan năng động, tích cực","Bún thịt nướng, bánh mì thịt xá xíu","Vẽ tranh, xem anime, thể dục"
2560,"Hướng nội, Lắng nghe, Tích cực","Gà Rán, Bún đậu","Xem phim, đá bóng, gym"
2561,"Ưa mạo hiểm, Tích cực, vui vẻ","Kem, Bánh ngọt","Xem TV series, Chụp ảnh"
2562,"ít nói nhưng thích đám đông, thích đi chơi với bạn bè, người thân","gà rán, mỳ tôm, nem nướng nha trang, bún trộn","nghe nhạc, bơi lội, chơi game"
2563,Hướng nội,Cheese fries ,Đọc sách
2564,"hoạt bát, thích ngoại giao, thoải mái khi gia nhập vào tập thể","đồ ăn: các món nước (bún, phở); thức uống: nước có ga","toán, kĩ thuật, khoa học"
2565,"Hơi hướng nội, thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người ","Mì cay, bò nea, gà rán, khoai lang lắc, trà sữa, sữa bắp","Đọc truyện, xem các show giải trí thực tế, nghe nhạc"
2566,Là người thích ở một mình ,Thích uống trà sữa ,Thích đọc sách 
2567,một người ít nói hướng nội và thích ở một mình,mì cay trà sữa,"xem phim, truyện"
2568,"hướng nội, ít nói, khó chịu, cọc cằn, nhạy cảm","miến trộn, gà rán",shopping
2569,Hướng nội thích ở một mình,"Mì gói, mì trộn, nước ngọt miễn là nước ngọt có ga , trà olong,.","Đọc truyện, xem phim, chơi game"
2570,"Ít nói, thích không gian riêng",Đồ ăn ngọt,Chụp ảnh và đi du lịch
2571,Hoà đồng,Gà rán,Cầu lông
2572,một người ít nói hướng nội và thích ở một mình,bánh mì,"code, nghe nhạc, ngủ"
2573,"Đôi khi ko thích chia sẻ nhiều lắm, nhưng lúc high thì lại muốn nói rất nhiều, thích có ko gian riêng tư 1 mình, ",Bánh tráng bún đậu trà sữa,Nghe nhạc xem phim đi lượn đường
2574,Vừa hướng nội vừa hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn  toàn tự hào khi làm tốt 1 công việc được giao,"Các loại Thức ăn nhanh , trừ những món liên quan tới Cá ; các dòng nước ngọt đều thích ",Nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster
2575,"Vừa hướng nội, vừa hướng ngoại, thích ở một mình","lẩu kim chi, mì cay, xoài lắc","thích chơi cầu lông, xem phim"
2576,"người hướng ngoại, thích đám đông và nói rất nhiều","Eat-clean, thích ăn những món ăn không quá đậm vị","thích tranh biện, thích những gì cần tư duy logic"
2577,"Năng động, cần cù, tích cực",Mỳ cay,Thiên văn học
2578,Thích tìm hiểu và áp dụng công nghệ mới,"Cơm, bánh mì, stings, coca cola, mì gói",Đọc sách
2579,"có xu hướng ambivert, nghiêng về hướng ngoại và thích kết bạn",Bánh mì,Esports
2580,"thường thích ở một mình, ít nói với người lạ,  hay giận vu vơ","nui xào, gà rán, thịt xào nấm mèo, bánh mì, C2, Fanta, Sting","chơi game, xem tin tức công nghệ, nghe nhạc"
2581, là một người hướng nội và thích ở một mình,"Bò kho, Cơm tấm, Bánh mì, Trà sữa",Cầu lông
2582,"một người ít nói hướng nội, thích làm việc và ở một mình, có phần hơi thích kiểm soát","mì xào, các loại trà trái cây và bánh mỳ","Chơi game , mầy mò linh kiện máy tính, bơi lội, bóng rổ"
2583,"Thích ở nhà hơn là ở ngoài, lười giao tiếp...","Phở, nước C2 chanh và táo","chơi game, coi phim anime và holywood"
2584,Lúc này lúc kia,Có ăn là được,Bơi
2585,Huong noi va thich o mot minh,"Coca, pepsi, 7up, sprite, revive, moutain dew, mi tom, cơm, bánh mì...","thiên văn học, toán, vân vân..."
2586,Thích yên tĩnh ,Kfc,"Đọc truyện, game"
2587,Ít nói hướng nội và thích ở một mình,"Bún bò, bánh canh, bánh bèo, mỳ quảng",Esport
2588,"Cũng có lúc hướng nội có lúc hướng ngoại, mình là ng dễ giao tiếp","Đồ ăn Hàn Quốc, ăn vặt","Đi dạo, đi ăn "
2589,Thích sống ở trọ ,Mì gói,"Chơi game, đọc sách"
2590,"Một người hoà đồng thích, vui vẻ, có quy tắc riêng, thích sạch sẽ ",Ăn đồ tốt cho sức khỏe ,"Xem phim, thường thức tác phẩm nghệ thuật "
2591,hướng nội,bún bò,đá bóng
2592,hướng nội ít nói nhưng hoà đồng thân thiện,"bún bò, mỳ hoành thánh, nước ép trái cây, đồ cay","đọc sách, nghe nhạc, đi tản bộ"
2593,hướng nội,ăn hải sản,vẽ
2594,Khá hòa đồng dễ bắt chuyện ,Coca ,Đọc truyện viết code
2595,Thích ở một mình,"Gà rán, Pizza","Coding, Xem phim"
2596,mình ambivert,"mình thích trà bí đao ngô gia, mì gói, coca","sở thích của mình là thay vì thoát khỏi áp lực, stress thì mình đâm đầu vô luôn"
2597,Cầu toàn,Trà sữa,Kiếm tiền
2598,Thích ờ chỗ không đông người,Bánh cuốn,Chơi nhạc
2599,"Là một người khá là trầm tư, thích suy diễn mọi chuyện trên đời, ngại bộc lộ tâm tư tình cảm cá nhân với người khác.","Coca cola, thích ăn cay, cá viên chiên mắm tỏi, chanh muối ","Thích chơi game, nhạc cụ, bói toán, chiêm tinh, bói tử vi"
2600,Một người hướng nội thích sự im lặng,"Socola, gà rán, kem","thiên văn học, nghe nhạc, đọc sách"
2601,"Tôi là một người ít nói, hướng nội và thích ở một mình","Cơm tấm , bánh căn , gà rán hay đồ chiên ,bánh xèo và mì quảng","nghe nhạc và xem phim , đọc tiểu thuyết và truyện"
2602,"Mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác, không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì, mình hk thích sự gượng ép","Không thích ăn cay lắm, thích bánh sandwich nướng, thích đồ ngọt, thích đồ ăn có trứng muối,...","Thích tiếng anh, nghe nhạc, xem phim,..."
2603,"hướng nội, sống cống hiến, tự do","fastfood, nước ngọt có ga, mì xào mì trộn, các loại đồ ngọt như chè, bánh, kẹo, mứt; các loại món nước như hủ tiếu, bánh canh, bột sò, lẩu, mì gói, bún nước lèo,...; các loại thức ăn truyền thống của miền Nam như bánh xèo, bánh mì, bánh cam, bánh bò, bánh căn, bánh khọt, bánh tàu hủ. Các món nướng như cơm sườn, thịt nướng, hải sản nước, ........; Nói chung là mình thích ăn rất nhiều món :3","tìm hiểu những kiến thức đa ngành, tò mò về cách vận hành của xã hội, thế giới, của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng), ko thích bị ép buộc"
2604,Hướng nội,Ăn đồ ngon,"Học công nghệ, chơi game"
2605,Ít nói hướng nội và thích ở một mình,Trứng ốp la,Chơi game
2606,Một người hướng nội và thích ở một đám,thích ăn cá thác lác chiên,"chiêm tinh, phong thủy, kinh quẻ, đông y, pokemon"
2607,"Là một người ít nói, hướng nội và thích ở một mình","Trà đào, coffee chill, bánh ngọt chill, thức ăn chill,...","Thích chill, phá máy tính, vệ sinh máy tính, tháo, ráp PC, dân chơi hệ điều hành (Windows, MAC OS, IOS, Linux, Android,...)"
2608,Là người hướng nội,"Đồ chiên, và đồ nhướng",Ở nhà một mình
2609,là một người ít nói hướng nội,"Salad, thịt bò,....",đi chơi ngoài trời
2610,Một người ít nói hướng nội và thích ở một mình.,"Cơm tấm, phở, mỳ trộn,...","Cầu lông, gym, bơi, ..."
2611,hướng nội,đồ ngọt,toán học
2612,là một người ít nói hướng nội và thích coi phim,cơm chiên trứng,coi phim hoạt hình
2613,Hướng nội,Xoài chua chấm muối ớt chua lè,Xem phim
2614,"Hướng nội, muốn một mình nhưng sợ cô đơn, nói khi cần thiết, có thể đi ăn ngoài nếu được mời, có thể mời người ta đi ăn nếu vui, hiếm khi thấy vui","Cà phê, mì quảng, bò kho, bánh mì, xôi mặn, nước ngọt có ga, hủ tiếu nam vang, mì các loại, hoành thánh, sâm bổ lượng, beer, cơm bò xào, cơm gà, cơm sườn, cơm đậu hũ dồn thịt xốt cà, cơm chiên các loại, khô các loại ","Nghe nhạc, chơi đàn"
2615,"Người hay thay đổi, thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ","canh trứng cà chua, thịt kho tàu","vẽ, nghệ thuật"
2616,"Hướng nội part time, hướng ngoại với người quen, nhưng hướng nội với người lạ",Gà nói chung,"Coi phim, ngủ, bơi "
2617,"ít nói, hướng nội","bún bò, các món Nhật, trà sữa","coi phim, đọc truyện, công nghệ"
2618,Trầm trầm nhưng lúc cần vẫn vui hết mình,Phở,"Đá banh, sự logic"
2619,"thoải mái, vui vẻ, thích vui và nghiêm túc",bánh ngọt và kem,môn nào vui thì môn đó chơi. Ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính và trí tuệ như nhau nên điều đó cũng là một sự thú bị
2620,Người hướng ngoại,"Trà đào, cơm tấm Long Xuyên, bún cá Châu Đốc","Toán, tin học, yoga,…"
2621,Hướng nội,"Gà, trứng, xúc xích","Nghe nhạc, xem phim, chơi game"
2622,Vừa hướng nội vừa hướng ngoại,"Trứng, tôm, những món có vị chua","Đọc sách, xem phim, du lịch"
2623,là một người ít nói hướng nội và thích ở một mình,bánh mì,tâm lý học
2624,hướng ngoại ít nói thích ở một mình và ghét sự cô đơn,pepsi vị chanh không calo,thích đá banh và bóng bàn
2625,Ít nói nhưng hay chia sẻ với mn,Món nào hợp khẩu vị thì mình ăn,Đá bóng và game mobile
2626,"Sạch sẽ, sợ xã hội","Hủ tiếu, mì quảng, cơm tấm","Game, xem phim, nghe nhạc, đi chơi"
2627,Hoà đồng,Mì cay,"Code, chụp ảnh, âm nhạc"
2628,Hướng nội,thích ăn mì cay,Bóng đá
2629,thích ở một mình,các món ăn có nước,đọc sách
2630,Mình là một người khá rụt rè khi ở một mình. ,Mình thích ăn tất cả những gì mình thấy ngon. Riêng đồ uống thì mình có niềm đam mê sâu sắc với Rau Má,Mình thích đọc tiểu thuyết và truyện tranh
2631,hướng nội,bún bò,"chơi game, xem phim"
2632,thích đi đâu đó,"Phở, bánh mì",bóng đá
2633,"thích yên tĩnh, hướng nội","bánh xèo, bánh mì","cầu lông, nghe nhạc"
2634,"Hướng nội, thích ở một mình và dành thời gian cho bản thân nhiều hơn. Nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít, 1 tháng chắc 1-2 lần) để giao lưu và tìm người người làm đồ án tốt nghiệp chung. ","Đồ nướng, đồ ngọt, nước trái cây, đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í.","Toán, giải đố, lắp ráp, ăn và ngủ"
2635,Hướng ngoại thân thiện vui vẻ,Bún đậu mắm tôm,"Toán, đạp xe, cà phê"
2636,"Hướng nội, ít nói",Hầu hết các món con người dùng được,Nghe nhạc 
2637,hướng ngoại nhung thích ở một mình,"cafe, bánh tráng ",nghe nhạc và xem phim 
2638,"là một người ít nói, thích đi ra quán cafe để học bài","pepsi, thịt sườn, thịt bò",thích chơi game
2639,"hướng nội, khó bắt chuyện với người lạ","bánh mì kẹp các loại, snack khoai tây, kem ốc quế...","phim hành động, nghe nhạc, các chương trình giải trí "
2640,một người ít nói hướng nội và thích ở một mình,"coca cola, đồ ngọt",chơi game
2641,một người ít nói hướng nội và thích ở một mình,trà sữa,toán
2642,Dễ chịu,ỏi,Bị người ta lùa gà
2643,Thích cứ gái,Ăn đồ ngọt uống nước ngọt,Thích đá banh
2644,Thích một mình nhưng lại sợ cô đơn,Trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn,Nghe nhạc
2645,Hướng nội,Fast food,Đọc truyện
2646,hướng nội,thích ăn,code
2647,Indoor type,Suit my taste is fine,Game và phụ kiện công nghệ
2648,"Vui vẻ, hòa đồng","Đồ ngọt, kem, trái cây, món nướng và lẩu",du lịch
2649,mình khá dễ hòa đồng nhưng tùy đối tượng,"Trà đào, đồ ngọt",Nghe nhạc
2650,hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ và chỉ thích ngủ một mình,thích ăn đồ Việt Nam ,"thích đọc truyện, thích hát "
2651,Là người ít nói và khá vui vẻ,Thịt nướng,Chơi game
2652,"Hiền hoà, thân thiện, dễ tiếp xúc, hướng ngoại","Bánh ngọt, đồ cay hàn quốc ","Ngoại ngữ, toán "
2653,Vừa hướng nội vừa hướng ngoại,Mì cay,"Xem phim, nghe nhạc"
2654,Lowkey,Bánh mì,Code
2655,Hướng nội,Pizza,"Bơi, chạy bộ"
2656,Là 1 người ít nói hướng nội và thích ở 1 mình,Bạc sỉu,Game và Dark fantasy manga
2657,Vui tính,Bánh kẹp thịt,Toán
2658,"Ambivert, dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.","Espresso, Chocolate, Mì gói","Đọc sách, Chơi bóng rổ, chơi đàn Piano, Nghe nhạc"
2659,"Ít nói, hướng nội",Cơm tấm sườn bì chả,Trò chơi điện tử
2660,"Ít nói nhưng hướng ngoại, vui tính",Spaghetti,"Thể thao, đọc sách"
2661," một người ít nói hướng nội và thích ở một mình,....
","bánh kẹp thịt, coca cola, thích ăn mì cay,...
","thiên văn học, toán, thích đá bóng, bơi lội ,...
"
2662,Hướng nội trầm tính,đồ ngọt ,thích hút thuốc
2663,Extrovert,Coca,Đá banh
2664,Hướng nội nhưng thích đi chơi,Sinh tố bơ,Game
2665,Không thích nơi đông người,"Cà phê, thức ăn có vị cay","Coding, học công nghệ, xem bóng đá"
2666,"Hướng nội, đam mê học tập và cống hiến hết mình","Cũm được, cơm ngon còn bánh bao hơi dở","Đánh bóng bàn, đọc sách"
2667,Vui nhộn ,Thích caffee,"Thích chơi bóng rổ , chơi vape"
2668,"HƯỚNG NỘI, KHÔNG THÍCH ỒN ÀO","MÌ UDON, TRÀ SỮA, CÀ PHÊ SỮA...","KPOP, VẼ..."
2669,"Bán hướng nội ambivert, hướng ngoại khi cần thiết","Sữa tươi trân châu đường đen, đồ ăn Hàn Quốc","Nhạc cụ, ngoại ngữ"
2670,"Hơi hướng nội và cũng hơi hướng ngoại, thích giáo tiếp với nhiều người","Pizza, các loại bánh ngọt và mặn",Thích xem phim
2671,"Đôi khi hướng nội, đôi khi hướng ngoại",Thích ăn cay và đồ ngọt,"Bơi, cầu lông, diy.."
2672,Khó giao tiếp,Bánh bò,Đọc sách 
2673,"là một ambivert, thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng, không lười thì đi có hứng thì xác xe",ăn cơm mẹ nấu,"chơi game, cầu lông"
2674,Í nói hướng nội ,"Ăn haidilao, ăn sushi, đồ thái",Thích đi chơi với bạn bè 
2675,"thích ở một mình với gia đình, bạn bè.",thích ăn MÌ TÔMMMMM,Thích học thích code
2676,Hướng nội nói nhiều,Bún chả nướng ,Quay tik tok 
2677,"Là một người 2 hướng, hướng nội về đêm. Có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không ","Hải sản, bún bò",Đi dạo 
2678,Hướng nội,Dưa hấu,Đọc sách
2679,Bình thường 🤤,No,Ngủ
2680,"Hoà đồng, vui vẻ, tích cực","1. Tofu
2. Bánh mì ( thích mọi loại bánh mì)
3. Nước ép
","Thích:
1. Thiên nhiên cây cỏ
2. Bóng bàn"
2681,Đúng ik chang mô tả mẫu :))),Thích đồ tự nấu,"Đọc sách, đàn hát, vẽ, xem phim"
2682,bán hướng nội bán hướng ngoại ,đồ gì có vị cay,"xem anime, chơi game"
2683,"Hướng nội, thích đi lang thang một mình","Các món gỏi, các món ăn truyền thống hoặc món ăn đường phố Việt Nam",Đi phượt
2684,"Ít nói với người lạ, nói nhiều với người quen",Đồ ăn Hàn. Đồ uống healthy ,Thích đi du lịch và đi đây đi đó với bạn bè( một mình)
2685,hướng nội,bánh ngọt,nghe nhạc
2686,Hoà đồng vui vẻ,Socola đá xay,Chơi game
2687,"Năng động,vui vẻ...",Phở,Cầu lông
2688,Hướng nội và hướng ngoại partime,"Ăn vặt, nước ngọt","Chơi game ,bới lội"
2689,Là 1 ng ít nói hướng nội cà thích ở 1 mình,Bún bò phở hu tiu com tam,Trống
2690,Là người 50% hướng nội và 50% hướng ngoài,"Trà đào, bánh plan, lẩu chay, lẩy thái","Chơi game, đi du lịch, đi chơi"
2691,Hương ngoại nhưng khó kết bạn với hơi trầm,Chocolate ,"Bơi, thể thao , phim , chơi game , ăn"
2692,"hướng ngoại, thích thử thách","cá hồi, mì cay ",ngủ
2693,"Tôi là một người hoạt bát, nhanh nhẹn",bánh kẹp thịt bò với sữa,chơi cờ vua
2694,"vui vẻ, hòa đồng, thân thiện",trà sữaaaaa,"Đi ăn,đi coi phim, đi tập thể dục,du lịch"
2695,"thích ở 1 mình, độc lập, thích gọn gàng","thích ăn bánh mì, ăn vặt, bị dị ứng hải sản có vỏ, đặc biệt là tôm",thích nhảy
2696,"vui vẻ, hòa đồng không thích đám đông lắm nhưng dễ hòa nhập",trà chanh trân châu,"nghe nhạc, đọc sách, xem phim, tập thể dục"
2697,Hướng nội,Trà sữa,Ngủ
2698,"Mình là một người hướng nội, thích ở một mình, ít bạn","Bánh gạo, sushi, mì trộn, mì quảng","Xem phim, nghe nhạc, du lịch, đọc sách, nấu ăn"
2699,Hướng nội,Bánh tráng trộn,Ca hát
2700,Hướng nội,Bánh ngọt,Xem phim
2701,"Dễ thích ứng, thẳng tính, vui vẻ…","Kẹo dẻo, coca cola…","Đá banh, đọc sách, nghe nhạc,…"
2702,Hướng nội , Cà phê ,Đọc sách 
2703,"dễ chịu, hơi hướng nội",snack,nghe nhạc
2704,"Hoà đồng, thân thiện",Gà jollibee,Bóng rổ
2705,Mình là người vừa hướng nội vừa hướng ngoại ,Mình thích ăn bánh tráng cuốn ,mình thích hát
2706,hướng ngoại và dễ thích nghi,"coca cola, bim bim, bia, trà sữa, đồ cay ","ngôn ngữ, xem phim, chạy bộ"
2707,Ít nói nhiều,Bánh mì ,Đánh võ
2708,"Thân thiện, có trách nhiệm, hoà đồng với mng","Mì xào, miến trộn, phở xào, bún ốc, bún chả, bánh bông lan dâu, sữa chua mít, bánh bột lọc, trà sữa, dừa dầm........","Xem phim, du lịch, ăn uống"
2709,"một người nửa hướng nội, nửa hướng ngoại, phần hướng nội nhiều hơn","bún chả, bánh cuốn, mỳ xào, trà sữa",thích động vật
2710,Trầm tính,Phở,Mua sắm
2711,Năng động,"Gà rán, trà sữa","Xem phim ngôn tình, phim hoạt hình"
2712,"dễ thương, hướng trung, hòa đồng, tốt bụng","bánh mì, cafe,....","nói chuyện cùng bạn bè, ngắm cảnh"
2713,Người suy nghĩ nhiều và hướng nội khi không có ai ,Phô mai kéo sợi xúc xích đồ hàn,Thich chơi thể thao võ
2714,"hướng nội, tham công tiếc việc, tình cảm","coca cola, come gà","nghe nhạc, xem phim, vi vu dạo phố"
2715,Hướng nội ,Nước lọc ,Chơi thể thao 
2716,Vừa hướng nội vừa hướng ngoại,"Kem, tôm chiên, trà sữa, trà đào…","Vẽ, cầu lông, xem phim,…."
2717,"Ít nói, dễ bị lung lay bởi cảm xúc, nhạy cảm, thân thiện, vui tính",trà sữa,"thiên văn học, toán, thích đá bóng, bơi lội"
2718,Hướng ngoại thích giao tiếp vui vẻ hoà đồng,"Nước cam, bông lan trứng muối",Xem phim nghe nhạc
2719,Hướng nội part time,Sữa Milo ,"Ngủ, ngắm cảnh, hát, đàn"
