,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
244,Nam,Phu Tho,là người hướng nội part time thích sống ở trọ hướng ngoại vui vẻ hòa đồng,trà đồ ăn nhanh gà jollibee,thich chơi thể thao võ đi từ thiện đá banh nấu ăn chiêm tinh,"Bạn cùng phòng phải là người hiểu chuyện, lịch sự, sạch sẽ và chịu đi chơi với tôi",dân chơi hệ điều hành (windows cờ vua,1,5
245,Nữ,Phu Yen,nghiêng về hướng ngoại,nước cam đồ gì có vị cay,thích hát tâm lí học tìm hiểu những kiến thức đa ngành đi cắm trại được ăn,"Ít nói, không nhiều chuyện",đánh cờ vua thích chill dân chơi hệ điều hành (windows mình thích ngôn ngữ,6,3
246,Nữ,Dak Lak,mình là dễ gần,ăn cơm mì tương đen,đá bóng ko thích bị ép buộc,"gọn gàng, trầm tính, cùng chuyên ngành/ sở thích",edit trống đánh bóng bàn xem youtube ngủ nghỉ ngơi đạp xe,6,2
247,Nam,Ha Nam,độc lập,rau,đá bóng học công nghệ,"Hoà đồng, có ý thức giữ vệ sinh chung, sạch sẽ",thích tiếng anh học tiếng nhật mình thích xem phim,5,3
248,Nữ,Nghe An,nhưng hướng nội với người lạ có phần hơi thích kiểm soát hướng ngoại nhung thích ở một mình,bánh căn bột sò,chơi yasua đồ ăn ngọt cũng không biết thích gì,"Người vui vẻ, hoà đồng nhưng cần không gian riêng không làm phiền người khác như buổi tối, ở sách không bừa bộn",thích nghe nhạc,5,6
249,Nữ,Phu Tho,ít bạn lúc này lúc kia thích trò chuyện hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao,"cơm chiên các loại moutain dew ........; nói chung là mình thích ăn rất nhiều món :3 bún nước lèo 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép",xe cộ,"Vui tính, dễ nói chuyện, hoà đồng.",thể hình,1,3
250,Nam,Hai Duong,là người hướng nội part time ưa mạo hiểm cũng hơi hướng ngoại,đặt biệt là trà sữa,đọc manga xem anime xem phim âu action nghe nhạc ko thích bị ép buộc đạp xe đạp,"Hướng nội, dẫn tiếp xúc, dễ tính, cùng tần số với mình :)))). Thật thà ",nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster đi coi phim chiêm tinh,4,7
251,Nam,Hung Yen,mình ambivert vui tính thích vui chơi một người hướng ngoại với bạn bè lúc này lúc kia,cái gì cũng thích ăn các loại trà trái cây thích caffee mỳ trộn,thích đồ ăn nhạt,Tĩnh lặng,o buổi chiều ở nhà một mình đếm tiền làm gốm dân chơi hệ điều hành (windows,2,6
252,Nữ,Bac Ninh,ở giữa hướng nội lowkey ghét phiền phức,hủ tiếu nam vang bánh gai canh cải nước cam trà sữa,thích chill chơi đàn piano badminton bói toán,Sạch sẽ,bóng đá thích những gì cần tư duy logic đi tản bộ xem các show giải trí thực tế,2,6
253,Nữ,Hau Giang ,nhạy cảm thích đi ra quán cafe để học bài khá vui vẻ nói nhiều với người quen,mỳ cay gà rán đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í.,thích nhảy,"vui tính, hoà đồng, sạch sẽ, gọn gàng, chung sở thích",đi phượt,3,9
254,Nữ,Soc Trang,năng động khá hòa đồng tôi là một người ít nói nửa hướng ngoại,lẩu thái các loại bánh ngọt,android,không có ạ,phim hành động trò chơi điện tử ở nhà một mình,8,4
255,Nam,Tuyen Quang,thích ở một mình tôi là một người hoạt bát,bún ốc mì cay hamburger,o buổi chiều quay tik tok tin học,người có tính hòa đồng,đàn hát mua sắm ăn uống coi anime,3,3
256,Nam,Quang Ngai,cởi mở khá hướng nội. thích sạch sẽ hướng nội khi không có ai khá vui vẻ nhưng không hẳn hướng nội :)),c2 em thích các loại bún ạ,bơi lội thích vẽ …,Trúa hề,kĩ thuật,5,5
257,Nam,Phu Tho,ko thích đi chơi trầm tính thích giao tiếp í nói hướng nội khá hòa đồng dễ bắt chuyện,trà chanh bánh cam eat-clean,chạy xe holywood,Hướng nội ,video game phá máy tính,9,4
258,Nữ,Binh Duong,nói nhiều nhộn nhịp hướng nội nói nhiều thích ở một mình với gia đình,nước ép thơm những món có vị chua bánh chocopie nước cam,mình thích ngôn ngữ đá banh tâm lý học,Gia han,thích xem phim kĩ thuật đánh cầu lông,4,9
259,Nam,Hau Giang ,em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time thích đi chơi ở ngoài với bạn bè ghét phiền phức hay giận vu vơ thoải mái khi gia nhập,bánh tráng các loại spaghetti đặt biệt là trà sữa,đàn hát đọc truyện viết code,"Dễ tính, dễ gần, hòa đồng, không dùng đồ mà chưa xin phép, k ồn sau 11h ",cũng không biết thích gì,9,3
260,Nam,Quang Binh,nhạy cảm  sạch sẽ,bò né,thích chơi game offline,"sạch sẽ, ngăn nắp, biết tôn trọng người khác",cờ tướng tập thể dục bơi trồng cây,5,9
261,Nữ,Soc Trang,đôi lúc hướng ngoại đôi lúc hướng nội đúng ik chang mô tả mẫu :))) nóng nảy - ưu tư,đồ hàn,toán,"Hòa đồng, vui tính, có thể đấu tranh với sự vô tâm ít nói của mình, nhưng không làm phiền người khác hay nhờ vả. Có thể nhanh chóng nắm bắt cảm xúc và hòa nhập vào câu chuyện hay tình huống. Là người có thể đưa ra lời khuyên nhưng không quá lố và tự cho mình là đúng. ",ko thích vẽ,2,7
262,Nam,Hung Yen,mình khá dễ hòa đồng nhưng tùy đối tượng,bò kho bánh tráng các loại thịt bò trừ đồ đắng ra thì mình đều ăn được,thích môn toán linux holywood nấu ăn học,"Người hướng ngoại, hòa đồng, biết đều",chơi đàn piano thích đi karaoke,1,8
263,Nữ,Quang Ninh,hướng ngoại thích giao tiếp vui vẻ hoà đồng riêng tư vui vẻ hoà đồng nóng nảy - ưu tư hướng nội,cá kho,thích những gì cần tư duy logic đọc truyện tranh vân vân... hát,có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe. ,đọc truyện viết code học,9,7
264,Nam,Phu Tho,không thích nơi đông người hướng ngoại khi cần thiết thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người ko thích đi chơi,bánh ngọt mì cay lẩu gà cứ đồ ăn là thích,xem phim đặc biệt là thích nhạc của sơn tùng m-tp,Vui tính,đi dạo trí tuệ như nhau nên điều đó cũng là một sự thú bị xem anime,9,4
265,Nam,Ca Mau,hướng nội khi không có ai thích kết bạn tôi là một người ít nói hướng nội,mì nước lọc trà chanh,game ngắm bầu trời đi cắm trại,"Người hoà đồng, hài hước, quan tâm",phim hoạt hình học tiếng anh hacking nhạc cụ,5,1
266,Nữ,Vinh Long,cần nhiều riêng tư thích giáo tiếp với nhiều người một người nửa hướng nội nhưng vẫn hoà đồng lúc hướng ngoại,món j có topping thì đều thích đậu hũ cà chua. socola bánh căn,thích đánh cờ dân chơi hệ điều hành (windows ngủ:)) thích bơi ngủ,"1 người tốt bụng , dễ gần",shopping đi cắm trại học tiếng anh học tiếng nhật,8,3
267,Nam,Hoa Binh,dễ tiếp xúc thích ở 1 mình,bún mắm udon nước trái cây thức ăn chill lẩu bò,"đánh võ thích:
1. thiên nhiên cây cỏ
2. bóng bàn đọc truyện tranh",cùng sở thích,đi ăn các chương trình giải trí thích chơi bóng rổ,9,1
268,Nữ,Khanh Hoa,hướng nội thích ở một mình,mắm chưng bánh plan bánh tráng nước c2 chanh,môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính thích tiếng anh,"Hoà đồng, có thể hoạt bát nhưng im lặng lúc cả phòng đang làm việc, giữ không gian riêng tư",o buổi chiều chơi thể thao trò chơi điện tử tám chuyện xe cộ,9,8
269,Nữ,Bac Giang,một người hướng nội nhưng cũng thích xã giao với mọi người mình là một người hướng nội,bánh ngọt chill không quá kén chọn,sở thích của mình là thay vì thoát khỏi áp lực của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) nhảy dây xem anime edit,người có tính hòa đồng,cờ vua ăn uống trò chơi điện tử đi từ thiện mình thích xem phim,3,2
270,Nữ,Dong Thap,hướng ngoài. tham công tiếc việc trung lập,coca cola mình thích uống trà sữa,toán choi game trồng cây tụ tập với bạn bè o buổi sáng,Bạn cùng phòng biết lùa gà,thể hình bóng chuyền,9,9
271,Nữ,Quang Ninh,ghét sự cô đơn thích đi chơi ở ngoài với bạn bè là một người ít nói khá hòa đồng dễ bắt chuyện lúc nói nhiều lúc nói ít,mỳ trộn cái gì cũng thích ăn,bóng rổ nghe nhạc mình thích đọc tiểu thuyết và truyện tranh tâm lý học,"Vui vẻ nhiệt tình, Hoà đồng, Lịch sự",xem youtube ngủ nghỉ ngơi vẽ phim hành động trang điểm chơi cờ vua,1,1
272,Nữ,Yen Bai,cọc cằn thiên về cảm xúc nhiều hơn lí trí dễ bị lung lay bởi cảm xúc,nước rau má xoài chua chấm muối ớt chua lè socola trà đào… no,chơi yasua tập thể dục,"Người vui tính, hoà đồng, thẳng tính, hoạt bát…",travelling thường hay quan tâm những tin tức về nó đá cầu lướt mxh ko thích bị ép buộc,5,8
273,Nữ,Kon Tum,cọc cằn thích một mình nhưng lại sợ cô đơn nói nhiều với người quen mình hk thích sự gượng ép hòa đồng,ăn pizza bim bim mì cay khô các loại thích đồ chiên,thích ngồi lướt mạng xh cả ngày xem tin tức công nghệ ăn giải đố thể hình,Tự giác,nói chuyện cùng bạn bè,4,3
274,Nữ,Thanh Hoa,mình là dễ gần làm quen nhiều bạn mới thích giáo tiếp với nhiều người là người thích ở một mình,fastfood bún không uống nước ngọt có ga mình rất thích ăn đồ ăn cay bò né,dọn dẹp đi dạo thế giới,thằng bạn thích hút thuốc,đọc truyện ăn,7,1
275,Nữ,Dong Nai,ít nói nhưng thích đám đông tốt bụng nửa hướng ngoại hòa đồnh,coca cola lẩu có ăn là được đồ cay hàn quốc,chơi xem youtube ngủ nghỉ ngơi thư giãn video game,Rich,học ngoại ngứ thử nhiều điều mới mình thích chạy bộ cờ vua các hoạt động phải chạy,3,6
276,Nam,Phu Tho,hướng trung ít nói nhưng hay chia sẻ với mn hướng nội lúc hướng nội lúc hướng ngoại thích đi các hoạt động xã hội,cá hồi cà phê sữa mì cay trà sữa không có cụ thể thích 1 món ăn hay đồ uống nào,phim hành động bói tử vi thích hút thuốc thể thao,hiền lành ,thích đọc hacking,9,7
277,Nữ,Ninh Binh,sống lowkey logic không thích ồn ào thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ,beer nước ép mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má,thích học ngôn ngữ anh câu cá đá bóng,"Thích ăn ngoài cùng mình, Ngăn nắp",trống ngủ đi phượt mình rất thích nghệ thuật,5,7
278,Nữ,Son La,thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ ghét sự cô đơn,đậu hũ cà chua. bún thịt nướng không uống nước ngọt có ga,esport xem phim nghe nhạc chơi hame tâm lý học,Ko ồn ào với phá phách là được,đi ăn,8,7
279,Nam,Khanh Hoa,ít nói nhưng hay chia sẻ với mn ít nói với người lạ nội tâm,lẩu chay chanh muối,chụp ảnh nấu ăn chơi yasua,"Người không nói quá nhiều, hiền hòa, trưởng thành, sạch sẽ, biết quan tâm, để ý tiểu tiết (theo hướng tích cực), ",thích chơi cầu lông,5,6
280,Nữ,Ha Giang,thích vui vẻ lúc hướng ngoại quyết đoán extrovert,nước rau má thích đồ chiên bánh ngọt chill bánh xèo cơm bò xào,thiên văn học quay tik tok,"Người hoà đồng, hài hước, quan tâm",đánh cầu lông thử nhiều điều mới thích môn toán,5,9
281,Nam,Long An,hướng nội nữa mùa,món nào mình thấy hợp thì đều thích ăn các loại trà trái cây, câu cá đá bóng nhảy dây,Vui vẻ hoà đồng nhưng tôn trọng không gian cá nhân của nhau,đọc sách.. travelling nhảy dây,5,7
282,Nữ,An Giang,hướng nọpi vui vẻ hoạt bát năng động nhưng hơi hướng nội í nói hướng nội hướng ngoại nhung thích ở một mình,hầu hết các món con người dùng được đặc biệt là mì cay cá tra nhúng giấm,thích đi karaoke,"Người vui tính , hoà đồng",coi phim hoạt hình phim,3,5
283,Nam,Kien Giang,hiền hoà hướng nội thích không gian yên tĩnh cống hiến hết mình dễ tính,bánh mì thịt xá xíu bánh căn,trồng cây chạy xe thích học thích code,Dễ nói chuyện và giàu,o buổi tối,5,8
284,Nữ,Tay Ninh,có lòng tự trọng trải nghiệm,mình thích trà bí đao ngô gia hủ tiếu …. buger không quá kén chọn cơm cháy kho quẹt,hacking,"Vui tính, hoà đồng",hát xe cộ,7,9
285,Nam,Ca Mau,thích đi chơi với bạn bè một người hướng ngoại với bạn bè,no,dân chơi hệ điều hành (windows xem youtube ngủ nghỉ ngơi đọc manga xem anime xem phim âu action nghe nhạc thế giới,"thích bạn cùng phòng dễ thương, hiền lành, hòa đồng, hoạt bát, siêng năng, chăm chỉ, ",xem tv series ...),6,9
286,Nữ,Ninh Binh,tham công tiếc việc áp dụng công nghệ mới,cơm chiên bánh ướt coca,các chương trình giải trí viết lách trồng cây văn học đọc sách..,"Vui vẻ, hoà đồng, có tính tự giác, sạch sẽ, gọn gàng ",môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính shopping,2,4
287,Nam,Dong Nai,thích đi chơi ở ngoài với bạn bè dễ tiếp xúc dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,bánh khọt đồ gì có vị cay,thư giãn học tiếng nhật,Vui vẻ,ráp pc,1,9
288,Nữ,Cao Bang,xàm là một người hướng nội thích ở một mình mình là một người hướng nội,dừa dầm........ mình thích trà bí đao ngô gia trừ những món liên quan tới cá ; các dòng nước ngọt đều thích uống caffee,mầy mò linh kiện máy tính du lịch đi đây đi đó với bạn bè( một mình) viết lách,"Vui tính, thíc người hay nấu ăn biết mặc cả =)) vì mình ko biết mặc cả hihi, tinh tế, ko so đo ",thích đọc ios ko thích gì hết chơi game,7,3
289,Nữ,Nam Dinh ,ở một mình bán hướng nội ambivert hướng nội là một người nhiệt tình,red bull cá kho mình thích ăn bánh tráng cuốn,khoa học,"vui tính, nói nhiều, chăm chỉ, sạch sẽ, hiền, ham chơi",chơi yasua,4,3
290,Nữ,Son La,cầu toàn có phần hơi thích kiểm soát,đậu hũ cà chua. cá viên chiên mắm tỏi khoai tây lắc,bơi lội. phim hoạt hình,"Thích những bạn hoạt bát, vui vẻ và sạch sẽ",sở thích của mình là thay vì thoát khỏi áp lực trò chơi điện tử tin học tiêu tiền.,7,4
291,Nữ,Kien Giang,hướng nội trầm tính khá hướng nội. thích sạch sẽ tự do đôi lúc hướng ngoại,hoành thánh,mình còn có thể chơi cầu lông nữa,Năng động vui tính thân thiện,… các hoạt động phải chạy game thiết kế coi phim hoạt hình,4,1
292,Nữ,Phu Tho,hướng trung (ambivert) lúc thích một mình vui tính,cứ đồ ăn là thích,đồ ăn ngọt dark fantasy manga lịch sử thích đọc,thằng bạn thích hút thuốc,chơi đàn đọc manga xem anime xem phim âu action nghe nhạc,9,8
293,Nữ,Long An,thích yên tĩnh lúc hướng ngoại tùy lúc hướng ngoại. hướng ngoại part time,vị đậm đà😋 bánh gạo hamburger mì xào mì trộn,tìm hiểu về văn hóa các nơi anh văn,hòa đồng, chơi yasua bói tử vi,4,7
294,Nữ,Ha Giang,không lười thì đi có hứng thì xác xe,cái gì cũng thích ăn cũng không biết nữa 😂 kem ốc quế...,hít thở không khí trong lành ở công viên,"Hiền lành, thật thà",shopping tập thể dục anh văn hacking linux,5,2
295,Nam,An Giang,có thể đi ăn ngoài nếu được mời hướng nội - ngoại,quả kẹo,các chương trình giải trí trí tuệ như nhau nên điều đó cũng là một sự thú bị đánh bóng bàn mình thích đọc tiểu thuyết và truyện tranh thích đọc truyện,toi khong có roommate,chơi đàn thích nhảy ko thích bị ép buộc,9,7
296,Nam,Lam Dong,cực đoan lắng nghe dễ hòa nhập hướng ngoại vui vẻ hòa đồng mình là người,thích ăn gà mình ăn uống healthy nền chỉ uống nước ép trái cây lẩu bò khoai tây kem ốc quế...,của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) tiền xem các show giải trí thực tế nghe nhạc hích võ taekwondo,"Người không nói quá nhiều, hiền hòa, trưởng thành, sạch sẽ, biết quan tâm, để ý tiểu tiết (theo hướng tích cực), ",tháo tắm (2l/ngày),7,7
297,Nữ,Ben Tre,ưa mạo hiểm ít nói hướng nội nhưng không phải e sợ đám đông là một người khá là trầm tư có thể mời người ta đi ăn nếu vui,thức ăn có vị cay matcha đá xay mì xào mì trộn,gym thích đọc truyện ở nhà một mình đi chơi ngoài trời học hóa,"sạch sẽ, gọn gàng",chơi cầu lông,3,1
298,Nữ,Tra Vinh,hướng ngoài. là người hướng nội,bánh khọt,"badminton ios đi mua sắm

không thích: chạy bộ sở thích của mình là thay vì thoát khỏi áp lực","Hoà đồng, cùng ngành, lanh lợi",hít thở không khí trong lành ở công viên đi cắm trại,6,1
299,Nam,Tay Ninh,hướng trung nghiêng về hướng ngoại o tập thể,thịt bò các món ăn có nước no ăn cơm các món nhiều gia vị,"thử nhiều điều mới thích:
1. thiên nhiên cây cỏ
2. bóng bàn",người sòng phẳng và thẳng thắn,của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) vân vân... vẽ tham gia hoạt động ngoại khoá mình thích ngôn ngữ,6,5
300,Nam,Tra Vinh,thường thích ở một mình,canh trứng cà chua stings,thể dục thể hình nhiều lắm . chơi được đa nghề :) công nghệ chơi nhạc,"vui vẻ, hòa đồng",phim hành động,9,7
301,Nữ,Ca Mau,hướng trung (ambivert) lúc thích một mình cống hiến hết mình mình hk thích sự gượng ép hướng ngoại full time,trà đá các đồ ăn hỗ trợ cho việc giảm cân,thích vẽ em thích chơi nhạc cụ hích võ taekwondo đếm tiền,thằng bạn thích hút thuốc,trang trí phòng ngủ đàn guzheng,2,1
302,Nữ,Cao Bang,thích đi dây đó là một người nội hướng ngoại ít nói thích ở một mình thích vui chơi,sinh tố bơ những món ăn liên quan đến kim chi trà sữa double trân châu món j có topping thì đều thích món ăn health,chơi hame xem tv series,"Vui tính, hòa đồng, chia sẽ",âm nhạc truyện,9,7
303,Nữ,Binh Phuoc,chỉ thích ngủ một mình nửa hướng ngoại,bánh xèo các loại lẩu mì nước lọc,thích đọc thích khoa học sự logic đông y nấu ăn,"Tử tế, ít nói",mình rất thích nghệ thuật ca hát coding,6,4
304,Nam,Ca Mau,chia sẽ hướng nội + ngoại part time mình là ng dễ giao tiếp trung lập,cá ăn được đồ nặng mùi món j có topping thì đều thích,coi anime,"Có thể là người học mỹ thuật hay kinh tế, vừa vui vừa trầm tính học giỏi hoạt bát",đánh bóng bàn ngắm bầu trời thư giãn,6,1
305,Nữ,Dong Nai,thích trò chuyện dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,trà chanh trân châu beer bánh tráng các loại xôi mặn,thích vẽ bới lội …. bóng đá,"Vui vẻ , hòa đồng",sở thích của mình là thay vì thoát khỏi áp lực học nhóm online tò mò về cách vận hành của xã hội lướt mạng đọc truyện,1,9
306,Nữ,Binh Phuoc,nóng nảy - ưu tư bạn bè.,bánh bao mình thích ăn bánh tráng cuốn chè bưởi,vẽ tranh lướt mxh thường hay quan tâm những tin tức về nó nghiên cứu về tài chính ko thích gì hết,"Vui tính, hoà đồng",cầu long. đá bóng đạp xe đạp .. cầu lông,2,9
307,Nữ,Nghe An,hướng nội thích không gian yên tĩnh hướng ngoại. hướng ngoại part time thẳng tính một người nửa hướng nội thích làm việc,bánh mì thịt xá xíu hũ tiếu lẩu kim chi,chơi bóng rổ thích tiếng anh thích động vật đạp xe đạp,vui tính,văn học tin khoa học đàn guzheng,8,8
308,Nữ,Soc Trang,thích đi chơi với bạn bè thích giáo tiếp với nhiều người có xu hướng ambivert sáng nắng chiều mưa thích ở nhà hơn là ở ngoài,sữa chua mít thích ăn mì cay,học nhóm online,"vui vẻ, hòa đồng",bói tử vi bơi lội đạp xe toán học,4,8
309,Nam,Dong Nai,mình là dễ gần ở một mình giống ví dụ,bún bò coca cơm tấm long xuyên ... thật ra thì ngoại trừ rau cần,thường hay quan tâm những tin tức về nó,"Hiểu chuyện, đừng ở dơ, Đừng quá ồn ào, nếu chung sở thích thì càng tốt",call điện thoại đi tập thể dục bóng rổ thường hay quan tâm những tin tức về nó kĩ thuật,4,1
310,Nữ,Dong Nai,thích thử thách sống lowkey trung lập thoải mái khi gia nhập em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time,món nào chay đều thích bánh ngọt chill,nằm dài nghe nhạc ngôn ngữ tin học chụp ảnh,Vui tính,thich chơi thể thao võ,4,7
311,Nữ,Khanh Hoa,là người hướng nội,đồ cay uống caffee mình thích ăn các loại đồ ngọt đậu hũ cà chua.,xem các show giải trí thực tế ngoại ngữ tiếng anh...,"vui tính, hòa đồng, dễ tính...",phụ kiện công nghệ,9,1
312,Nam,Thanh Hoa,mình là ng dễ giao tiếp người hướng nội,thích ăn trứng vịt lộn ăn đồ ngọt uống nước ngọt bún cá,tập thể dục ngoài trời chiêm tinh khám phá xung quanh làm gốm đi tập thể dục,"Điềm tĩnh, sạch sẽ, hiền",học hóa coi phim chạy xe code,3,9
313,Nam,Quang Ninh,nhưng không phải e sợ đám đông,cà phê sữa... mứt; các loại món nước như hủ tiếu thích ăn bánh mì,xem phim hàn khoa học,SẠCH! Gọn gàng!!!!,chơi đàn piano bơi lội ca hát toán học,4,2
314,Nữ,Lang Son,v.v có quy tắc riêng nóng nảy - ưu tư,"trà đá 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép",phim hoạt hình xe cộ,"Vui tính, cẩn thận, đừng nói quá nhiều ",pokemon chăn nuôi,3,5
315,Nam,Binh Thuan,người đang học trường fpt nội tâm là một người khiêm nhường,trứng nước trà (như c2 cá viên chiên mắm tỏi,xem tv series thích xem phim thích học thích code nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster,"sạch sẽ, vui tính",...),2,6
316,Nữ,Bac Kan,hoà đồng với mọi người thích sống ở trọ là người ít nói thích tụ tập bạn bè thân thiết ở nhà hướng nội,nước gas đồ bún phở việt nam các loại thức ăn nhanh thịt bò chiên,trí tuệ như nhau nên điều đó cũng là một sự thú bị,Hoà hợp,video game,2,4
317,Nữ,Son La,thích sạch sẽ huong noi va thich o mot minh khá hòa đồng dễ bắt chuyện,thích đồ healthy bánh gạo thích đồ chay cháo lòng nem nướng,hít thở không khí trong lành ở công viên học tiếng anh,"Không quá nóng tính, Hoạt bát",tâm lí học đánh bóng bàn trò chơi điện tử,6,2
318,Nữ,Lao Cai,thích ở một mình nội tâm  cá tính mạnh,bánh plan cơm ỏi sâm bổ lượng đồ ăn vặt hoặc đồ hàn,phá máy tính ...) badminton đi xe đạp,"Hoà đồng, cùng ngành, lanh lợi",toán học học ngoại ngứ,6,6
319,Nữ,Thai Binh,thích trò chuyện lúc này lúc kia không thích ồn ào,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í.,ngủ coi phim ăn đá bóng thích,Có tình nghĩa huynh đệ,xem mv ca nhạc thể dục thích những gì cần tư duy logic học,7,9
320,Nam,Binh Thuan,là 1 ng ít nói hướng nội cà thích ở 1 mình mình là người thích được đi chơi nóng nảy - ưu tư thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra,lẩu cá đuối cá hồi mì các loại đồ ăn ngọt bánh plan,diy.. thích đá bóng chơi hame,"gọn gàng, trầm tính, cùng chuyên ngành/ sở thích",mầy mò linh kiện máy tính,5,1
321,Nữ,Tien Giang,là 1 người ít nói hướng nội yên tĩnh tình cảm là một người hướng nội,coca cola phở); thức uống: nước có ga,khám phá xung quanh,"Hoà đồng, vui tính",xem tv series hacking ca hát,6,9
322,Nữ,Binh Duong,mê chơi đá gà,cơm nước ngọt blahblah quả đặc biệt là mì cay cái gì cũng thích ăn,gym thích đá banh đọc sách công nghệ,Không ồn ào,thích đọc quay tik tok,7,4
323,Nam,Phu Yen,đôi khi ko thích chia sẻ nhiều lắm có xu hướng ambivert,hơi kén ăn 1 chút,coi phim anime đọc tiểu thuyết chơi cầu lông,"Hoà đồng, siêng năng",đá banh đi dạo giải đố thiết kế,9,4
324,Nam,Tay Ninh,có xu hướng ambivert bán hướng nội ambivert đúng ik chang mô tả mẫu :))) thích ở một mình.,nước thảo mộc,lướt mạng trồng cây thích đi bộ bóng đá,Chung ngành sạch sẽ và dễ tính,tám chuyện học công nghệ ngủ đi đây đi đó với bạn bè( một mình),2,2
325,Nữ,Thanh Hoa,thích ờ chỗ không đông người dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều. là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime vui nhộn,khoai tây lắc thích uống trà sữa ạ :v,…,Freedom,đi đây đi đó với bạn bè( một mình) thích khám phá xung quanh ở nhà một mình,9,8
326,Nam,Kien Giang,cá tính mạnh không thích ồn ào,mình ăn thích ăn đồ healthy những món ăn liên quan đến kim chi,bới lội thích chơi game thích đi chơi với bạn bè đi chơi ngoài trời,Biết điều,"thích động vật đi mua sắm

không thích: chạy bộ",6,3
327,Nữ,Tien Giang,khó chịu,ăn cơm mẹ nấu mùi hương (hành tỏi tiêu ớt sả đầy đủ) canh trứng cà chua thịt đồ thái,thích hát cờ tướng,Vui vẻ hoà đồng,các chương trình giải trí linux,9,6
328,Nam,Bac Giang,cần nhiều riêng tư hướng nội + ngoại part time,bánh gai 7up đồ ăn hàn. đồ uống healthy sữa bắp thích ăn món mì cay,âm nhạc tắm (2l/ngày) ngủ coi phim ăn bóng đá kpop,"hài hước, hòa đồng",badminton,4,6
329,Nam,Soc Trang,hướng nội thích ở 1 mình thích ờ chỗ không đông người hướng ngoại ít nói thích ở một mình cực đoan,coca cola…,đánh bóng bàn mình thích ngôn ngữ chơi yasua,"sạch sẽ, vui tính",dọn dẹp đi phượt khoa học,7,1
330,Nam,An Giang,ngăn nắp dù hay bày bừa (xong rồi dọn ngay) vui vẻ hoạt bát năng động nhưng hơi hướng nội hướng nội linh hoạt thích tự lập,nước rau má bún chả nướng canh cải nước ép,học hỏi bơi,"Hòa đồng, sạch sẽ ",thiên văn học chơi đàn piano,7,1
331,Nữ,Tien Giang,khó chịu bạn bè. ở một mình muốn một mình nhưng sợ cô đơn hướng nội nói nhiều,c2 paparoti hột vịt lộn rang me,thích ngủ,"Cùng ngành học, ham học, vui tính, hòa đồng, hoạt bát",o buổi tối badminton chiêm tinh học tấu hài thích đồ ăn nhạt,7,1
332,Nam,Quang Ninh,hay giận vu vơ bạn bè. dễ chịu ngại bộc lộ tâm tư tình cảm cá nhân với người khác. vui vẻ…,xoài chua chấm muối ớt chua lè,xem anime,Vui vẻ dễ tính sạch sẽ,nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster trò chơi điện tử thích chơi bóng rổ,9,9
