,Name,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
894,894,Nữ,Vinh Long,khác trầm thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng,bánh canh,badminton thiết kế,không,ko ồn ào với phá phách là được hài hước,9,8
895,895,Nữ,Dak Nong,người suy nghĩ nhiều dễ thích nghi tốt bụng,trà sữa 7up gà phô mai thích ăn những món ăn không quá đậm vị mi tom,vận động thể lực (nhẹ) dark fantasy manga chiêm tinh học,không,có chung sở thích,9,9
896,896,Nam,Quang Ngai,là một người hướng nội,mì bún ốc trà dâu ăn được uống được sâm bổ lượng,vẽ tranh thiết kế quay tik tok,không,tôn trọng không gian chung hòa đồng dễ chịu có chừng mực - vui vẻ,7,8
897,897,Nam,Ca Mau,thoải mái khi gia nhập,coca cola gà bánh mì... mì nước lọc,holywood tập trung nghiên cứu một vấn đề nào đó,Có,thích các hoạt động nhóm hướng nội,8,10
898,898,Nam,Hoa Binh,thích vui vẻ hiền hoà sống cống hiến,ăn đồ ngọt uống nước ngọt đặc biệt là tôm cơm người yêu nấu bún ốc,chăn nuôi xem mv ca nhạc,Có,thoải mái là ổn có ý thức tôn trọng riêng tư bình thường chăm chỉ làm việc nhà,7,10
899,899,Nam,Ha Tinh,bình thường 🤤,socola come gà mình rất thích ăn đồ ăn cay,học toán kpop xem anime,không,chung sở thích là người vui tính cùng sở thích,9,8
900,900,Nữ,Bac Ninh,thích giáo tiếp với nhiều người hướng ngoại thân thiện vui vẻ nhiệt tình hướng ngoại partime thích một mình,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. các món nướng ăn đồ tốt cho sức khỏe,bơi trò chơi điện tử decor phòng game online thần số học,không,tôn trọng không gian riêng tư của người khác ăn ở sạch sẽ năng động giống mình học giỏi (chung ngành càng tốt) nhiều chuyện,8,8
901,901,Nam,Bac Lieu,là một người 2 hướng yêu thiên nhiên hoà đồng với mng khó giao tiếp hướng nội thích ở một mình,sữa chua mít thích ăn mì xào ăn cơm,ở nhà một mình thích đá bóng,không,thật lòng em thích ở chung với người tôn trọng khoảng cách thằng bạn thích hút thuốc,8,9
902,902,Nữ,Khanh Hoa,không thích nói nhiều hiếm khi thấy vui,nước c2 chanh sushi các loại bạn khoai lang lắc thích ăn,thích nhảy thích bơi hacking,không,không quậy phá không tính toán với bạn cùng phòng khác. o câu chuyện hay tình huống. là người có thể đưa ra lời khuyên nhưng không quá lố,7,8
903,903,Nữ,Nam Dinh ,hướng nội về đêm. có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không hiền hoà mình là một người khá rụt rè khi ở một mình. thích đi lang thang một mình,ăn đồ ăn nhanh thích đồ healthy dưa hấu mỳ tôm,ngắm bầu trời học tiếng nhật,không,có ý thức giữ vệ sinh chung không thích ai có tính cách bảo thủ dùng đồ của ng khác thì phải biết mượn,7,10
904,904,Nữ,Binh Phuoc,hướng nội ít nói thik ở một mình hướng nội khi không có ai thích vui chơi thích đi các hoạt động xã hội,socola mỳ xào gà rán hay đồ chiên,ko thích gì hết trò chơi điện tử o buổi tối tâm lý học bơi,không,không có ạ,8,7
905,905,Nữ,Binh Phuoc,thiên về cảm xúc nhiều hơn lí trí thích tận hưởng không gian 1 mình dễ chịu,ăn đồ tốt cho sức khỏe coca cola…,tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,không,mình thích bạn cùng phòng hoà đồng không care lắm,8,8
906,906,Nam,Dak Nong,huong noi va thich o mot minh,đặc biệt là chè sting bánh cuốn thích ăn cá thác lác chiên không rõ,ở nhà một mình pha chế học hóa học ngoại ngữ phim hành động,không,không quá ồn ào nói nhìu hoà đồng,9,8
907,907,Nữ,Ha Tinh,thích có ko gian riêng tư 1 mình là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime vui vẻ…,coffee chill kẹo dẻo ăn đồ cay,chơi đàn piano nấu ăn được ăn,Có,người vui tính hòa người có ý thức tự cho mình là đúng. nấu ăn ngon ồn ào đúng lúc đúng chỗ,8,3
908,908,Nam,Vinh Phuc,bình thường 🤤 hướng nội nhưng thích đi chơi thích tận hưởng không gian 1 mình hương ngoại nhưng khó kết bạn với hơi trầm hướng nội thích không gian yên tĩnh,cơm tấm long xuyên,đạp xe học nhóm online đá cầu mình thích đọc tiểu thuyết và truyện tranh,không,chung ngành học biết tôn trọng người khác tự cho mình là đúng. người trung thực,8,9
909,909,Nữ,Tay Ninh,thích ở 1 mình vui vẻ... cực đoan hoạt bát dễ thích nghi,ỏi udon bún rêu no bánh tép,thích đá bóng vẽ,không,trầm tính ít nói nữa thì quá tuyệt vời người trung thực đừng nói quá nhiều ai đó chịu chơi ngu với t,7,7
910,910,Nữ,Binh Dinh,extrovert ngày ngủ đêm bay cần nhiều riêng tư hướng ngoại full time,bún thịt nướng bánh tráng các loại thịt xào nấm mèo ăn đồ ăn nhanh mình rất thích đồ ăn vặt,đông y phim truyền hình môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính xem anime bị người ta lùa gà,không,hoạt bát… mọi thứ rõ ràng,8,8
911,911,Nam,Dong Thap,là một ambivert độc lập mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân,các loại bánh ngọt ỏi bánh canh,chơi đàn piano truyện tấu hài các hoạt động phải chạy chiêm tinh,không,một người hiểu biết rộng hoặc cùng trường biết nhậu muốn có bạn gái tiết kiệm một chút,9,9
912,912,Nam,Quang Ngai,thích tìm hiểu thích sạch sẽ là một người khá là trầm tư quan tâm người khác thích khám phá,thích ăn cay,thích chill,Có,hoạt bát,6,9
913,913,Nữ,Hung Yen,thích ở một mình thích đi dây đó ít nói với người lạ thích tự do nói nhiều,mì nước lọc bánh bột lọc,thích khám phá xung quanh du lịch cùng bạn thích chơi game chăn nuôi,không,sạch! gọn gàng!!!! không soi mói,7,5
914,914,Nữ,Quang Ngai,xàm thích suy diễn mọi chuyện trên đời cọc cằn,thích uống trà sữa ạ :v,học toán game mobile đồ ăn ngọt đọc sách.. học ngoại ngứ,không,tích cực với cuộc sống muốn có bạn gái biết đúng sai người ngay thẳng,7,6
915,915,Nữ,Bac Lieu,sống tình cảm vs chăm chỉ nhưng e hơi chậm so vs bạn bè cùng tuổi về sự linh hoạt sống lowkey,mì quảng,thích chơi bóng rổ trang điểm,không,biết quan tâm,8,8
916,916,Nam,Ca Mau,hướng ngoại ít nói thích ở một mình nội tâm không thích giao tiếp với người lạ sạch sẽ thích thử thách,phô mai kéo sợi xúc xích đồ hàn ăn đồ ngon mỳ xào trứng,đông y … kinh quẻ nhạc cụ,không,thích nói thật không tệ nạn,9,7
917,917,Nam,Gia Lai,thích giao tiếp dễ ngại vui tính hướng nội part time,lẩu cá đuối thịt kho tàu đặc biệt là chè ỏi,đi đây đi đó với bạn bè( một mình) chiêm tinh,không,biết giúp đỡ có chừng mực - vui vẻ nhiều chuyện biết quan tâm,6,10
918,918,Nữ,Soc Trang,không thích ồn ào một người nửa hướng nội,ăn pizza ít mỡ bánh . nước coca . mì cay... sữa tươi trân châu đường đen kẹo,lưới fb xem phim hàn trang trí phòng ngủ thich chơi thể thao võ khoa học,Có,vui vẻ hoà đồng sinh hoạt cú đêm giống mình hihi hoà đồng. thống minh,9,7
919,919,Nam,Gia Lai,dễ thương thích tụ tập bạn bè thân thiết ở nhà thích nơi đông người hướng ngoại nhung thích ở một mình thích được đi chơi,bún rêu gà rán canh cải,hít thở không khí trong lành ở công viên hội hoạ,không,gọn gàng sạch sẽ thằng bạn thích hút thuốc vì mình khá kỹ tính nên mong tìm đc người bạn cùng phòng gọn gàng trung thực hòa nhập,8,10
920,920,Nữ,Nam Dinh ,nói nhiều với người quen logic bình thường,ham bơ gơ,lướt mxh đi chơi cùng bạn bè người thân lập trình nói chuyện cùng bạn bè,không,có chí cầu tiến tư vấn lẫn nhau là người vui tính,5,7
921,921,Nữ,Ha Tinh,mình khá ít nói cũng như là hướng nội hướng nội nữa mùa thích một mình nhưng lại sợ cô đơn,hủ tiếu xào,đánh cầu lông,Có,mọi thứ rõ ràng có thể đấu tranh với sự vô tâm ít nói của mình vui vẻ chân thật chùi dọn phòng,10,8
922,922,Nam,Gia Lai,cũng có lúc hướng nội có lúc hướng ngoại hòa đồng không thích đám đông lắm nhưng dễ hòa nhập riêng tư hay giận vu vơ ko thích đi chơi,lẩu chay,kiếm tiền chơi vape coi phim anime chơi thể thao cầu long.,không,cùng tần số,5,9
923,923,Nữ,Kien Giang,hướng nội nhưng thích làm social media,thích đồ tự nấu,bói tử vi ráp pc cũng không biết thích gì thích đánh cờ lắp ráp,không,k ồn sau 11h hài hước dẫn tiếp xúc trưởng thành biết chia sẻ,10,10
924,924,Nữ,Hoa Binh,1 tháng chắc 1-2 lần) để giao lưu mình là dễ gần hơi ngại giao tiếp nhưng sẵn sàng học hỏi o tập thể,mì tương đen trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn đồ ăn chay thích ăn trứng vịt lộn,thích chơi bóng rổ lắp ráp viết lách,không,sẵn sàng quan tâm chia sẻ,10,9
925,925,Nữ,Hai Duong,người hướng nội cởi mở,udon đi ăn với bạn nước ép. bạc sỉu,đọc truyện tranh hacking tìm hiểu về văn hóa các nơi kpop,không,có thể là người học mỹ thuật hay kinh tế hiền,10,7
926,926,Nữ,Binh Duong,thích gọn gàng không thích nơi đông người vui vẻ… ngoại kiểu người,mì cay trà sữa thích đồ tự nấu mì nước lọc kfc,giải đố học công nghệ nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster,không,nề nếp có tình nghĩa huynh đệ,5,10
927,927,Nam,Ca Mau,.... thích vui nhưng vẫn hoà đồng hướng nội với người ngoài,thích ăn vặt thích ăn gà thịt sườn nước trà (như c2 trà ô long,bóng đá,không,yên tĩnh ngay thẳng năng động vui tính thân thiện ..,8,8
928,928,Nữ,Ha Tinh,thân thiện một người hoà đồng thích thích suy diễn mọi chuyện trên đời là người ít nói chuyện,đồ ăn nhanh,các hoạt động phải chạy các chương trình giải trí cờ tướng đếm tiền,không,đừng nói quá nhiều trách nhiệm thân thiện có chung sở thích,9,7
929,929,Nam,Binh Phuoc,1 tháng chắc 1-2 lần) để giao lưu thẳng tính là 1 ng ít nói hướng nội cà thích ở 1 mình năng động,cháo gà tắc đồ thái,esport chơi đàn piano ... linux,không,vui vẻ chân thật chung ngành sạch sẽ vd : vui vẻ lanh lợi ..,8,7
930,930,Nam,Bac Lieu,ít nói chuyện hơi hướng nội khó bắt chuyện với người lạ thích sạch sẽ,chiên bánh ....,...) đu otp đạp xe đạp học,không,có cùng sở thích là một điểm cộng,8,8
931,931,Nam,Binh Phuoc,mê chơi đá gà kiểu người ưa mạo hiểm thích vui hướng ngoại ít nói thích ở một mình,hủ tiếu nam vang thích ăn đồ cay cá đồ ăn vặt hoặc đồ hàn khoai tây,hóng drama thích đánh cờ,không,ai đó chịu chơi ngu với t trung thực hiền lành nhưng đừng quá ồn ào.,5,8
932,932,Nữ,Phu Tho,hoạt bát,red bull,du lịch cùng bạn,không,thích công nghệ để ý tiểu tiết (theo hướng tích cực) thích bạn cùng phòng dễ thương nhiều chuyện,9,8
933,933,Nam,Binh Phuoc,vui vẻ bạn bè. yên tĩnh 1 tháng chắc 1-2 lần) để giao lưu,tôm,du lịch cùng bạn thích đánh cờ thích chơi cầu lông,không,vui hoà dồng người không nói quá nhiều ngăn nắp. biết tuân thủ lợi ích chung. giàu,8,10
934,934,Nữ,Phu Tho,vui vẻ... nhanh nhẹn thích ở một mình có thể mời người ta đi ăn nếu vui có quy tắc riêng,tất cả các loại mì,ăn thích khoa học holywood dọn dẹp tập trung nghiên cứu một vấn đề nào đó,không,đặc biệt là tam quan đúng đắn người hiểu chuyện,10,8
935,935,Nữ,Binh Dinh,mình là một người hướng ngoại thường thích ở một mình thích giao lưu với mọi nguời giống ví dụ,cháo gà các món nướng cafe,dọn dẹp,không,người vui vẻ biết nấu ăn,10,9
936,936,Nam,Ha Giang,hòa đồng,mì ý,chơi bóng rổ …. mình rất thích nghệ thuật đọc tiểu thuyết,không,quan tâm bạn bè không thích chung phòng nói nhiều,8,10
937,937,Nam,Tay Ninh,dễ tính,nước trái cây,khoa học mình thích xem phim,không,tôn trọng mình,8,10
938,938,Nữ,Kon Tum,tùy lúc hòa đồng không thích đám đông lắm nhưng dễ hòa nhập vui vẻ… là người hướng nội,cũng không biết nữa 😂 ăn được uống được bò nướng,kinh quẻ e thik chơi cầu lông thích động vật coi anime làm mô hình,không,đặc biệt là tam quan đúng đắn gọn gàng đẹp người chịu chia sẻ cảm xúc của bản thân.,7,7
939,939,Nam,Binh Phuoc,đôi khi ko thích chia sẻ nhiều lắm là một người nội,thức ăn gì ngon đều yêu thích bò nướng bánh . nước coca . mì cay... không độ),ngủ sự logic vi vu dạo phố,không,không quá kĩ tính có thể hoạt bát nhưng im lặng lúc cả phòng đang làm việc có chừng mực - vui vẻ ko thích share phòng,1,5
940,940,Nữ,Ben Tre,tôi là một người hoạt bát hướng ngoại thích giao tiếp vui vẻ hoà đồng dành thời gian cho bản thân nhiều hơn. nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít nhưng lúc high thì lại muốn nói rất nhiều,đồ ăn: các món nước (bún miến trộn cơm người yêu nấu mình rất thích đồ ăn vặt,thích chơi game offline online shopping thích đá bóng đánh cờ vua code,không,cùng chuyên ngành/ sở thích cầu tiến,7,8
941,941,Nam,Dong Nai,sợ xã hội nhưng lúc high thì lại muốn nói rất nhiều hòa đồng không thích đám đông lắm nhưng dễ hòa nhập lúc hướng ngoại vui vẻ…,nước rau má đồ cay hàn quốc bò kho,câu cá đá bóng phong thủy,không,người kiên định không ba phải hùa theo đám đồng ngành kỹ thuật nhiệt tình vs mn,9,10
942,942,Nam,Khanh Hoa,là người ít nói thích đi ra quán cafe để học bài,đặc biệt là mì cay thích ăn mì cay không quá kén chọn mì lẩu chay,kiếm tiền chơi vape,không,đáng tin cậy biết tôn trọng,8,8
943,943,Nữ,Vung Tau,trầm trầm nhưng lúc cần vẫn vui hết mình tốt bụng,bún chả mì udon,kinh quẻ học nhóm online,không,mong muốn được ở cùng với người có sở thích khoa học với mình hoà đồng. không ồn ào bình đẳng không tệ nạn,10,5
944,944,Nữ,Thanh Hoa,là một người thiếu ngủ thích đi chơi cùng những người bạn thân thiết thích tham gia các hoạt động xã hội thích suy diễn mọi chuyện trên đời,cũm được ngũ cốc trà ô long ăn sushi,chơi coi anime đạp xe đạp o buổi chiều,không,hướng ngoại giữ vệ sinh nhà cửa sạch sẽ tôn trọng riêng tư,8,9
945,945,Nam,Khanh Hoa,hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ ồn ào,có ăn . nhiều lắm nào cũng ăn được chỉ cần không cay là được mì các loại,của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) kĩ thuật thích đi bộ,Có,đừng nói quá nhiều điểm khác biệt giữ 2 đứa. không quá xen không có ạ người hài hước sinh hoạt cú đêm giống mình hihi,7,9
946,946,Nữ,Dak Lak,hướng nội tích cực bán hướng nội bán hướng ngoại chia sẽ cũng hơi hướng ngoại nhát bắt chuyện với người lạ,nướng cơm đậu hũ dồn thịt xốt cà pizaa ... cơm chiên các loại,xem bóng đá thích chơi game offline vân vân... kiếm tiền,không,biết quan tâm,7,10
947,947,Nữ,Ca Mau,thích có ko gian riêng tư 1 mình là một người nội,gà hấp nước mắm trái cây thích bánh sandwich nướng táo,thích đi bộ chơi hame phim hành động đạp xe tấu hài,không,ngăn nắp,10,5
948,948,Nữ,Phu Tho,hướng ngoài. nhát bắt chuyện với người lạ thích giao lưu với mọi nguời là 1 người ít nói hướng nội,e thik các loại nước ngọt không có gas vd như nước yến pizza nước suối trà nóng,phim truyền hình khoa học ngủ,không,phải sạch sẽ,10,8
949,949,Nữ,Quang Ngai,mình hk thích sự gượng ép mình khá dễ hòa đồng nhưng tùy đối tượng cần cù ít nói nhiều,snack khoai tây chả giò,thích chơi game thích học ngôn ngữ anh thích tìm hiểu những kiến thức đa ngành,không,ăn ở sạch sẽ người vui vẻ nhường nhịn biết như thế nào là bất lịch sự nấu ăn ngon trách nhiệm hoạt bát,8,9
950,950,Nam,Quang Ngai,....,đi ăn với bạn đồ ăn chay bún mắm,phụ kiện công nghệ chiêm tinh học khoa học toán học thích đi karaoke,không,năng động biết nấu ăn,10,7
951,951,Nam,Ha Tinh,thích nghệ thuật áp dụng công nghệ mới,có ăn . nhiều lắm nào cũng ăn được hủ tiếu xào thịt bò socola đá xay hủ tiếu nam vang,nghe nhạc tập thể dục chơi cờ vua quay tik tok,không,siêng không tệ nạn người kiên định không ba phải hùa theo đám đồng ở sạch sẽ cẩn thận hiểu lễ phép,8,10
952,952,Nữ,Thai Binh,dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều. lúc hướng nội lúc hướng ngoại đam mê học tập,sữa của các hạt đậu bánh mỳ ăn được uống được fanta vị nho : d,vệ sinh máy tính ko thích bị ép buộc,không,hòa đồng dễ chịu nói nhìu hoà đồng tinh tế 1 người vui tính người không nói quá nhiều,5,7
953,953,Nam,Thai Binh,nhưng không hẳn hướng nội :)),bánh mì...,ca hát thích chơi suốt ngày,không,tâm lý đừng quá ồn ào tính giống mình,7,7
954,954,Nữ,Thanh Hoa,hướng nội + ngoại part time thích vui vẻ,ăn được đồ nặng mùi ... thật ra thì ngoại trừ rau cần thịt kho mắm ruốc nước gas thích ăn trứng vịt lộn,bơi lội,không,tâm lý =))),8,7
955,955,Nữ,Vung Tau,dễ hòa nhập,chocolate lẩu thái,ngủ game online o buổi sáng học hóa game mobile,không,biết nghĩ cho người khác. là một người biết cách bắt đầu câu chuyện tại vì mình ít nói biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ) trúa hề không tính toán với bạn cùng phòng khác.,5,10
956,956,Nữ,Ha Tinh,thích đi ra quán cafe để học bài ít nói hướng nội,nước ép trái cây trà olong,đi tập thể dục âm nhạc,không,cùng chuyên ngành/ sở thích biết tôn trọng người khác,8,10
957,957,Nam,Quang Nam,nhưng lúc high thì lại muốn nói rất nhiều hiền hoà hướng nội tích cực mình là ng dễ giao tiếp có trách nhiệm,thích đồ ngọt trừ đồ đắng ra thì mình đều ăn được gà rán hay đồ chiên trà olong,lịch sử,không,thật thà có kỷ luật,8,10
958,958,Nữ,Khanh Hoa,.... indoor type,thích caffee nước ép trái cây bánh khọt,ngắm cảnh chơi hame,không,mong muốn có một người bạn có cùng sở thích khám phá giống mình đừng nói quá nhiều chăm chỉ biết lắng nghe,6,9
959,959,Nữ,Ninh Thuan,ít bạn thích ở một mình- lúc thích nói chuyện nhiều người,e thik các loại nước ngọt không có gas vd như nước yến ăn sushi các thế loại mì đặc biệt là chè,bóng đá pha chế thiết kế quay tik tok,không,sống thoáng cùng ngành học nói nhiều,5,10
960,960,Nam,Tien Giang,thích được đi chơi ngày ngủ đêm bay mình là một người hướng nội thích ở một mình- lúc thích nói chuyện nhiều người chia sẽ,"nước rau má spaghetti redbull
không thích cafe gói bánh tàu hủ. các món nướng như cơm sườn",sở thích của mình là thay vì thoát khỏi áp lực phá máy tính shopping,không,trách nhiệm sạch sẻ cùng chuyên ngành càng tốt nhưng khác cũng không sao,8,9
961,961,Nữ,Bac Ninh,ít nói nhiều thích 1 mình khó chịu hướng ngoại cọc cằn,mỳ quảng bánh mì... cafe đặc biệt là tôm,thích những gì cần tư duy logic đánh bóng bàn,không,thằng bạn thích hút thuốc mong muốn được ở cùng với người có sở thích khoa học với mình trầm tính ít nói nữa thì quá tuyệt vời,8,8
962,962,Nam,Ha Giang,tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình vui vẻ… cũng có lúc hướng nội có lúc hướng ngoại,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. món j có topping thì đều thích bánh mỳ,xem phim ngôn tình nhạc cụ,không,sạch gọn ở sạch không có ạ quan tâm,8,8
963,963,Nam,Hoa Binh,tìm người người làm đồ án tốt nghiệp chung.,gà phô mai,học hóa kiếm tiền tụ tập với bạn bè đi dạo ngắm cây bị người ta lùa gà,không,gọn gàng,10,8
964,964,Nam,Ha Giang,cũng hơi hướng ngoại hướng ngoại thích giao tiếp vui vẻ hoà đồng ít nói chuyện,ăn cơm,chơi bóng rổ holywood,không,thật thà vd : vui vẻ đừng quá ồn ào hướng nội học giỏi,10,8
965,965,Nữ,Ca Mau,hoà đồng nhưng cũng thích ở một mình cống hiến hết mình ngại bộc lộ tâm tư tình cảm cá nhân với người khác. tình cảm là một người ít nói hướng nội,"1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép trà dâu hũ tiếu coca cola… ... thật ra thì ngoại trừ rau cần",tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. esports thích chơi cầu lông,không,đừng ở dơ,7,8
966,966,Nam,Ninh Thuan,thích sống ở trọ hoà đồng với mng nhưng lúc high thì lại muốn nói rất nhiều,bún cá châu đốc em thích các loại bún ạ,học toán .. đọc truyện tranh vận động thể lực (nhẹ) vệ sinh máy tính,không,"biết cư xử
nói ít thôi
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b",10,8
967,967,Nam,Gia Lai,thích nơi đông người thích tụ tập bạn bè thân thiết ở nhà năng động kiểu người,bánh bò xôi mặn gà jollibee,tắm (2l/ngày) thích ngồi lướt mạng xh cả ngày đi xe đạp,không,trật tự,10,8
968,968,Nam,Hoa Binh,là một người hướng nội thích ở một mình ngoại là một người nhiệt tình thích tham gia các hoạt động xã hội,... pepsi phở bò,xem phim bới lội,không,ngành gì cũng được (khác ngành thì dễ nhờ hơn :>) tính khôn lỏi trật tự,9,10
969,969,Nữ,Ha Tinh,quan tâm người khác,lẩu đồ hàn paparoti,ngủ coi phim ăn o buổi chiều,không,sống thoáng biết chia sẻ công việc tôn trọng ý kiến của nhau,9,7
970,970,Nam,Hung Yen,là người thích ở một mình,... thật ra thì ngoại trừ rau cần đồ ăn nhà nấu món nào chay đều thích,hít thở không khí trong lành ở công viên thích nghe nhạc đi tập thể dục truyện,không,giàu,6,9
971,971,Nam,Lao Cai,ít bạn nhưng vẫn hoà đồng đôi lúc hướng ngoại thích sống ở trọ,không độ) . mi tom uống rượu,thường hay quan tâm những tin tức về nó,không,biết đúng sai tôn trọng bạn cùng phòng không quá kĩ tính,10,8
972,972,Nữ,Hai Duong,là một người thiếu ngủ hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ nhưng không hẳn hướng nội :)),các loại mì cũm được ......... mình rất thích đồ ăn vặt sữa đậu nành,nghiên cứu về tài chính bói toán,không,gọn gàng. hướng ngoại vui vẻ - hài hước,10,7
973,973,Nam,Binh Phuoc,hướng nội nói nhiều thích thử thách sạch sẽ mình là một người hướng nội,kem hầu hết các món con người dùng được cơm tấm long xuyên bún nước lèo,o buổi sáng chụp ảnh,không,hoà đồng. để ý tiểu tiết (theo hướng tích cực),7,8
974,974,Nam,Hoa Binh,cũng hơi hướng ngoại mình là một người khá rụt rè khi ở một mình.,đặc biệt là chè,nấu ăn,Có,ăn mặc ổn cầu tiến tôn trọng không gian riêng tư,8,8
975,975,Nam,Lao Cai,hướng ngoại nhung thích ở một mình,các thế loại mì,ráp pc,Có,bình đẳng vd : vui vẻ vui vẻ hòa đồng,7,9
976,976,Nữ,Hai Duong,thích một mình nhưng lại sợ cô đơn hiền hoà người hay thay đổi,ỏi hamburger sữa chua,làm mô hình bới lội vẽ tranh,không,tiền bạc rạch ròi có tri thức về y khoa cùng các lĩnh vực xã hội khác siêng người sống có quy củ người hòa đồng,9,8
977,977,Nam,Bac Lieu,đôi lúc hướng ngoại nói nhiều thích đám đông người hay thay đổi,các loại mì các loại trà trái cây sữa chua mít thịt bò,mình thích hát bói tử vi coi anime,không,không quá ồn ào giữ vệ sinh nấu ăn ngon,10,10
978,978,Nam,Thai Binh,nhưng không phải e sợ đám đông hướng ngoại thân thiện vui vẻ ít nói nhưng hay chia sẻ với mn đôi lúc hướng nội khó giao tiếp,bún mắm lẩu kim chi bánh chuối chiên thịt kho tàu các món về tôm,thích học thích code,không,sòng phẳng tiền bạc. người chịu chia sẻ cảm xúc của bản thân. người biết lắng nghe không có ạ giữ không gian riêng tư,10,8
979,979,Nữ,Quang Ngai,indoor type hoà đồng với mng bình thường 🤤 mình là một người khá rụt rè khi ở một mình. thích vui vẻ,bò né sữa milo bánh kẹp thịt bò với sữa,đi chơi ngoài trời esport,không,thằng bạn thích hút thuốc thẳng thắn im lặng,10,8
980,980,Nam,Hoa Binh,em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time,cơm tấm những món có vị chua mì xào lẩu cá đuối,tụ tập với bạn bè ngủ thiện nguyện,không,hoặc cùng trường tôn trọng riêng tư đồng cảm không soi mói năng động vui tính thân thiện,6,10
981,981,Nữ,Hai Duong,thích tìm hiểu quyết đoán nói nhiều với người quen dễ thích ứng có xu hướng ambivert,bánh tráng các loại bánh ngọt thích ăn món mì cay đồ ăn nhà nấu coca-cola,đi dạo vận động thể lực (nhẹ),không,chung sở thích hiểu chuyện cẩn thận tôn trọng không gian riêng tư của người khác,10,8
982,982,Nam,Nam Dinh ,ít nói với người lạ,các món về tôm salad bò nướng mì udon mặn,đọc truyện viết code thiện nguyện học ngoại ngứ,không,tính giống mình đáng tin cậy biết tôn trọng ý thức,8,10
983,983,Nam,Binh Thuan,extrovert hướng trung (ambivert) lúc thích một mình,thích đồ ngọt nước trà,cafe đồ ăn ngọt chơi cầu lông,không,tôn trọng ý kiến của nhau người vui vẻ o ban đêm có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe. sạch sẽ một chút,10,7
984,984,Nữ,Binh Phuoc,thích ở một đám,thức ăn gì ngon đều yêu thích mình ăn uống healthy nền chỉ uống nước ép trái cây đậu hũ cà chua.,khoa học ăn uống,không,tốt bụng,9,10
985,985,Nữ,Vung Tau,người đang học trường fpt,rau má mix ăn đồ ngon,xem phim online shopping đi từ thiện,không,hay ham chơi trầm tính ít nói nữa thì quá tuyệt vời đặc biệt là tam quan đúng đắn vui vẻ hòa đồng,10,7
986,986,Nam,Ha Giang,người hay thay đổi hướng ngoại vui vẻ hòa đồng người suy nghĩ nhiều,ăn được đồ nặng mùi,ngủ coi phim ăn thích hát,Có,người ít nói đặc biệt là tam quan đúng đắn vui vẻ hòa đồng chung ngành học,7,10
987,987,Nam,Kon Tum,xàm nhiệt tình là một người hướng nội thích ở một mình,trà đào hũ tiếu,thích tranh biện chăn nuôi,không,học giỏi (chung ngành càng tốt) hoạt bát thân thiên vui vẻ tĩnh lặng tiền bạc rõ ràng,5,8
988,988,Nữ,Dong Thap,năng động hoà đồng vui vẻ đôi lúc hướng ngoại sạch sẽ là một người nội,khoai tây lắc coffee chill stings 7up,đá cầu đọc truyện tranh travelling bơi,không,gọn gàng,10,10
989,989,Nữ,Tay Ninh,yên tĩnh,mình ăn thích ăn đồ healthy 7up,trồng cây,không,tính cách thẳng thắn nhưng không vô duyên cầu tiến tôn trọng không gian chung,9,7
990,990,Nữ,Quang Ngai,một người hướng nội thích sự im lặng hơi hướng nội hướng nội,chỉ thích cafe phin ......... xôi các loại xôi vs chè sinh tố bơ,đọc truyện mua sắm trang trí phòng ngủ hích võ taekwondo,không,hiền lành không thích chung phòng đơn giản,9,8
